StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q10,Q3,Q5,Q6,Q7,Q7_3_TEXT,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Have you ever experienced trolling on Facebook?,"What was the nature of that troll? (If you have experienced it more than once, mention the one that is most frequent) - Selected Choice","What was the nature of that troll? (If you have experienced it more than once, mention the one that is most frequent) - Other - Text",Did you report it?,How many times do you login or check Facebook?,How much time do you spend on Facebook EACH time you check/login?,"How often do you post on Facebook (Photos, status update, check-ins, etc.)",Which gender do you classify yourself as? - Selected Choice,Which gender do you classify yourself as? - Other - Text,Your Age?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_3_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_3_TEXT""}","{""ImportId"":""QID9""}"
2018-03-31 17:38:05,2018-03-31 17:39:23,IP Address,81.105.84.11,100,77,True,2018-03-31 17:39:23,R_2fs47nbGdPdC1Vi,,,,,52.44140625,-1.4998931884766,anonymous,EN,Yes,Personally directed remark,,Yes,1-3 times a day,It really depends on the day,Sometimes,Female,,18-24
2018-03-31 21:58:15,2018-03-31 21:58:51,IP Address,219.77.190.172,100,36,True,2018-03-31 21:58:52,R_2e2m0yRlsrcIVEe,,,,,22.283294677734,114.14999389648,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,No,1-3 times a day,1-5 minutes (Quickly checking notifications),Rarely or never,Female,,18-24
2018-04-01 02:29:35,2018-04-01 02:30:28,IP Address,155.69.160.33,100,52,True,2018-04-01 02:30:28,R_54kRTK95Oe4K0yl,,,,,1.36669921875,103.79998779297,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,Maybe,Once a week,1-5 minutes (Quickly checking notifications),Rarely or never,Male,,25-30
2018-04-01 05:06:07,2018-04-01 05:06:49,IP Address,31.220.194.26,100,42,True,2018-04-01 05:06:50,R_PYAzbjLMbknYKZj,,,,,52.906295776367,-1.2315979003906,anonymous,EN,Yes,Personally directed remark,,No,1-3 times a day,20-30 minutes,Sometimes,Female,,25-30
2018-04-01 08:47:13,2018-04-01 08:47:19,IP Address,68.68.93.49,100,5,True,2018-04-01 08:47:19,R_2R7yO5gBEcr2Ual,,,,,39.083602905273,-86.432098388672,anonymous,EN,No,,,,,,,,,
2018-04-01 10:13:05,2018-04-01 10:13:32,IP Address,107.145.45.242,100,27,True,2018-04-01 10:13:33,R_3LifbI7MFqgmzpv,,,,,29.069702148438,-81.271102905273,anonymous,EN,Yes,Personally directed remark,,Yes,10-12 times a day,10-15 minutes,Frequently,Female,,31-40
2018-04-01 10:30:24,2018-04-01 10:30:37,IP Address,68.58.84.251,100,12,True,2018-04-01 10:30:37,R_1NFAgT979xQjkZL,,,,,39.083602905273,-86.432098388672,anonymous,EN,No,,,,,,,,,
2018-04-01 10:44:22,2018-04-01 10:44:29,IP Address,95.145.107.162,100,7,True,2018-04-01 10:44:29,R_3qwJzrzRfRcFZPU,,,,,50.821304321289,-1.3773956298828,anonymous,EN,No,,,,,,,,,
2018-04-01 11:57:16,2018-04-01 11:58:08,IP Address,95.208.211.101,100,52,True,2018-04-01 11:58:08,R_1dnwgmlIRHOg7IN,,,,,47.674392700195,9.1649017333984,anonymous,EN,No,,,,,,,,,
2018-04-01 11:58:13,2018-04-01 11:58:56,IP Address,95.208.211.101,100,42,True,2018-04-01 11:58:56,R_1g87ejFRToPlcb4,,,,,47.674392700195,9.1649017333984,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,No,10-12 times a day,1-5 minutes (Quickly checking notifications),Sometimes,Female,,25-30
2018-04-02 02:59:23,2018-04-02 02:59:29,IP Address,176.143.193.21,100,6,True,2018-04-02 02:59:29,R_3KoupKMZ3YvcLd1,,,,,43.562393188477,7.1278076171875,anonymous,EN,No,,,,,,,,,
2018-04-02 10:29:13,2018-04-02 10:29:19,IP Address,149.161.200.152,100,5,True,2018-04-02 10:29:20,R_1d4VzkBAURBwYuB,,,,,39.17610168457,-86.516799926758,anonymous,EN,No,,,,,,,,,
2018-03-30 08:59:00,2018-03-30 08:59:03,IP Address,185.69.145.177,13,2,False,2018-04-06 08:59:09,R_p3IHrCsiMCLNn9L,,,,,,,anonymous,EN,Yes,,,,,,,,,
2018-03-30 10:34:44,2018-03-30 10:34:56,IP Address,137.205.238.123,13,11,False,2018-04-06 10:35:35,R_1LLiaCJHss5AxV3,,,,,,,anonymous,EN,Yes,,,,,,,,,
2018-03-31 09:11:43,2018-03-31 09:11:47,IP Address,89.129.124.175,13,3,False,2018-04-07 09:11:48,R_30vGRDbBUOWbgH1,,,,,,,anonymous,EN,Yes,,,,,,,,,
2018-04-09 12:35:37,2018-04-09 12:36:10,IP Address,149.160.208.158,13,32,False,2018-04-16 12:36:12,R_3gOcRB2CCihs6au,,,,,,,anonymous,EN,Yes,,,,,,,,,
